core0,core1,core2,core3,core4,core5,core6,core7,core8,core9,core10,core11,core12,core13,core14,core15
80,0,0,90,0,60,75,50,0,30,0,0,100,0,10,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100
0,0,0,0,0,0,0,0,4,0,4,3.03,0,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.01,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,0,0,0,1,60,0,0.99,60,0,62,61,59.6,62.38,62,60.4
100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100
100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100
